req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
UA2-03210,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,maxItems?: number;,maxItems?: number;,547,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03211,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,// default 50,// default 50,547,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03212,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,interface ActivityItem {,interface ActivityItem {,550,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03213,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,id: string;,id: string;,377;551;910;1716,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03214,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,model: string;,model: string;,552;935;1901,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03215,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,inputTokens: number;,inputTokens: number;,553;927,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03216,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,outputTokens: number;,outputTokens: number;,554;928,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03217,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,cost: number;,cost: number;,555;929,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03218,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,status: 'success' | 'error';,status: 'success' | 'error';,556,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03219,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,errorMessage?: string;,errorMessage?: string;,557,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03220,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,timestamp: string;,timestamp: string;,558,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03221,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,duration: number;,duration: number;,559;930,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03231,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""time"": ""2026-07-28T21:29:32+08:00"",","""time"": ""2026-07-28T21:29:32+08:00"",",601,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03233,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""vendor"": ""DeepSeek"",","""vendor"": ""DeepSeek"",",603,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03234,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""apiKey"": ""sk-3c-xxxx"",","""apiKey"": ""sk-3c-xxxx"",",604,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03237,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""cost"": 0.0012,","""cost"": 0.0012,",607,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03240,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,POST /api/v1/me/stats/export,POST /api/v1/me/stats/export,627;686;2063,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03241,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""startDate"": ""2026-07-01"",","""startDate"": ""2026-07-01"",",630,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03242,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""endDate"": ""2026-07-28"",","""endDate"": ""2026-07-28"",",631,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03243,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""format"": ""csv"",                 // ""csv"" | ""json""","""format"": ""csv"",                 // ""csv"" | ""json""",632,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03244,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""columns"": [""time"", ""model"", ""vendor"", ""apiKey"", ""inputTokens"", ""outputTokens"", ""cost"", ""status"", ""duration""],","""columns"": [""time"", ""model"", ""vendor"", ""apiKey"", ""inputTokens"", ""outputTokens"", ""cost"", ""status"", ""duration""],",633,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03245,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""dataScope"": ""full"",             // ""full"" | ""summary_models"" | ""summary_daily""","""dataScope"": ""full"",             // ""full"" | ""summary_models"" | ""summary_daily""",634,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03248,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""status"": ""ready"",","""status"": ""ready"",",638,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03249,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""downloadUrl"": ""https://cdn.3cloud.dev/exports/export_abc123.csv"",","""downloadUrl"": ""https://cdn.3cloud.dev/exports/export_abc123.csv"",",639,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03250,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""expiresAt"": ""2026-07-28T22:00:00Z"",","""expiresAt"": ""2026-07-28T22:00:00Z"",",640,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03251,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""recordCount"": 8532,","""recordCount"": 8532,",641,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03252,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""fileSize"": 1254400              // bytes","""fileSize"": 1254400              // bytes",642,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03254,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""status"": ""processing"",","""status"": ""processing"",",646,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03255,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""taskId"": ""export_task_xyz"",","""taskId"": ""export_task_xyz"",",647,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03256,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section;source_quote;atomic_assertion,降级轮询,"""estimatedTime"": 30              // 预计秒数","""estimatedTime"": 30              // 预计秒数",648,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03258,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""status"": ""processing"" | ""ready"" | ""failed"",","""status"": ""processing"" | ""ready"" | ""failed"",",652,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03259,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,"""progress"": 65,                              // 0-100","""progress"": 65,                              // 0-100",653,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03261,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,interface ExportDialogProps {,interface ExportDialogProps {,661;2086,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-03262,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,降级轮询,open: boolean;,open: boolean;,662;1352;2087,516,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
