req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
UA2-01827,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,POST,POST,46;118;283;315;317;318;319,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01830,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,model_manage,model_manage,46;48,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01832,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/playground/embeddings,/api/v1/playground/embeddings,46,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01833,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,向量嵌入调试,向量嵌入调试,46,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01839,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,GET,GET,48;119;122;123;155;157;158;217;218;219;220;221;222;279;281;314;316;320;388;389;439;441;442;443,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01840,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/playground/models,/api/v1/playground/models,48,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01841,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,可调试模型列表（按类型分组）,可调试模型列表（按类型分组）,48,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01867,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/budget-rules,/api/v1/me/budget-rules,118;119;120;121,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01868,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,创建预算规则,创建预算规则,118,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01869,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,用户,用户,118;119;120;121;122;123;155;156;157;158;217;218;219;220;221;222;279;280;281;282;283;314;315;316;317;318;319;320;461;463,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01872,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,预算规则列表,预算规则列表,119,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01874,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,PATCH,PATCH,120;156;280;282,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01875,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/budget-rules/:id,/api/v1/me/budget-rules/:id,120;121,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01878,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,DELETE,DELETE,121,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01883,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/budget-usage,/api/v1/me/budget-usage,122;123,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01887,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/budget-usage/history,/api/v1/me/budget-usage/history,123,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01908,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/onboarding/progress,/api/v1/me/onboarding/progress,155;156,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01909,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,获取引导进度,获取引导进度,155,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01913,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,更新引导进度,更新引导进度,156,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01916,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/onboarding/examples,/api/v1/me/onboarding/examples,157;158,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01917,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,获取示例代码列表,获取示例代码列表,157,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01920,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/onboarding/examples/:lang,/api/v1/me/onboarding/examples/:lang,158,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01921,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,获取指定语言示例代码,获取指定语言示例代码,158,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01933,user-agent,docs/PRD-用户端体验增强.md,source_quote;atomic_assertion,功能规格,支持 PDF / CSV 格式下载,支持 PDF / CSV 格式下载,181,11;67;141;176;240;300;338;409,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01936,user-agent,docs/PRD-用户端体验增强.md,source_quote;atomic_assertion,功能规格,成本优化建议,成本优化建议,222,11;67;141;176;240;300;338;409,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01941,user-agent,docs/PRD-用户端体验增强.md,source_quote;atomic_assertion,功能规格,本月 vs 上月消费对比，环比增长率,本月 vs 上月消费对比，环比增长率,185,11;67;141;176;240;300;338;409,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01943,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/billing/summaries,/api/v1/me/billing/summaries,217;218;219,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01944,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,月度账单列表,月度账单列表,217,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01947,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/billing/summaries/:period,/api/v1/me/billing/summaries/:period,218;219,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01948,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,指定月份账单详情,指定月份账单详情,218,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01951,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/billing/summaries/:period/download,/api/v1/me/billing/summaries/:period/download,219,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01955,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/billing/analysis,/api/v1/me/billing/analysis,220,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01956,user-agent,docs/PRD-用户端体验增强.md,source_section;source_quote;atomic_assertion,API 接口,消费分析数据（多维）,消费分析数据（多维）,220,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01959,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/billing/forecast,/api/v1/me/billing/forecast,221,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-01963,user-agent,docs/PRD-用户端体验增强.md,source_section,API 接口,/api/v1/me/billing/optimization-tips,/api/v1/me/billing/optimization-tips,222,41;114;151;213;275;310;381;435,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
