req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
UA2-00052,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,**资源维度**（按模块划分）：,**资源维度**（按模块划分）：,23,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00053,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`user`,`user`,27;78,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00054,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,用户管理,用户管理,27,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00055,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,列表 / 详情 / 余额操作 / 禁用,列表 / 详情 / 余额操作 / 禁用,27,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00056,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`apikey`,`apikey`,28,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00057,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,API Key 管理,API Key 管理,28;777,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00058,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,列表 / 创建 / 编辑 / 删除 / 权限配置,列表 / 创建 / 编辑 / 删除 / 权限配置,28,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00062,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`model`,`model`,30,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00063,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,模型管理,模型管理,30,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00064,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,列表 / 价格 / 映射,列表 / 价格 / 映射,30,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00071,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`security`,`security`,33,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00072,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,安全管理,安全管理,33,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00073,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,事件 / 规则 / 封禁 / 风控,事件 / 规则 / 封禁 / 风控,33,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00074,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`log`,`log`,34,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00075,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,日志管理,日志管理,34,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00076,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,调用日志 / 操作日志 / 审计日志,调用日志 / 操作日志 / 审计日志,34,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00077,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`config`,`config`,35,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00078,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,系统配置,系统配置,35;93,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00079,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,参数 / 版本 / 站点 / 环境,参数 / 版本 / 站点 / 环境,35,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00080,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`marketing`,`marketing`,36,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00081,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,营销运营,营销运营,36,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00082,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,活动 / 公告 / 内容 / 邮件模板,活动 / 公告 / 内容 / 邮件模板,36,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00084,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,操作代码,操作代码,40,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00085,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,操作,操作,40;74;75;76;77;78;79;83;84;371;579;884;1022,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00086,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,说明,说明,40;52;743;753;1022,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00090,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`create`,`create`,43,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00091,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,创建,创建,28;43;805;816;933,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00092,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,新增,新增,43,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00093,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`update`,`update`,44,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00094,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,编辑,编辑,838,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00095,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,2.1.2 权限引擎规格,修改现有数据,修改现有数据,44,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
UA2-00096,user-agent,docs/PRD-用户体系.md,source_section,2.1.2 权限引擎规格,`delete`,`delete`,45,21,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
